Cppf_phi1,Cppf_phi2,Cppf_phi3,Cppf_phi4,Cppf_theta1,Cppf_theta2,Cppf_theta3,Cppf_theta4,cluster_size1,cluster_size2,cluster_size3,cluster_size4,Deltaphi12,Deltaphi23,Deltaphi34,Deltatheta12,Deltatheta23,Deltatheta34
384,374,370,374,13,14,12,13,2,3,3,1,10,4,-4,-1,2,-1
604,600,595,590,14,14,13,13,2,3,3,2,4,5,5,0,1,0
571,567,567,562,14,14,15,16,1,1,2,3,4,0,5,0,-1,-1
440,436,436,431,20,19,20,18,1,2,2,1,4,0,5,1,-1,2
942,937,937,932,13,14,15,13,1,2,2,2,5,0,5,-1,-1,2
693,689,689,684,17,19,18,18,2,3,3,2,4,0,5,-2,1,0
614,609,609,604,14,17,15,16,3,3,1,2,5,0,5,-3,2,-1
862,857,862,857,14,17,15,16,3,1,2,1,5,-5,5,-3,2,-1
918,914,914,909,14,14,13,13,1,2,1,1,4,0,5,0,1,0
881,871,876,867,14,14,15,13,1,1,2,2,10,-5,9,0,-1,2
618,604,604,600,14,14,13,13,2,2,1,2,14,0,4,0,1,0
553,543,539,539,14,14,13,13,1,3,3,3,10,4,0,0,1,0
539,534,534,529,18,19,18,19,2,3,2,3,5,0,5,-1,1,-1
782,773,768,768,18,19,18,18,2,3,3,1,9,5,0,-1,1,0
637,632,637,637,20,19,20,21,1,1,2,1,5,-5,0,1,-1,-1
937,923,914,918,13,14,15,13,2,3,1,3,14,9,-4,-1,-1,2
773,773,778,768,17,19,18,18,3,2,2,2,0,-5,10,-2,1,0
881,867,867,867,14,14,15,13,3,1,2,2,14,0,0,0,-1,2
974,960,956,960,13,14,12,13,1,3,1,1,14,4,-4,-1,2,-1
557,548,548,548,14,14,13,13,1,2,3,2,9,0,0,0,1,0
684,928,674,670,17,19,18,18,2,1,2,1,-244,254,4,-2,1,0
942,937,937,937,20,19,20,21,1,1,1,3,5,0,0,1,-1,-1
426,412,417,417,17,16,15,16,2,2,1,2,14,-5,0,1,1,-1
600,595,595,590,14,14,13,13,3,2,2,2,5,0,5,0,1,0
389,384,384,379,17,16,18,16,1,1,2,2,5,0,5,1,-2,2
290,286,286,286,18,19,20,19,2,3,1,1,4,0,0,-1,-1,1
239,234,234,234,21,19,20,18,2,1,2,1,5,0,0,2,-1,2
262,257,262,257,21,19,20,21,1,2,1,2,5,-5,5,2,-1,-1
192,1073,1073,1073,18,16,18,16,1,2,1,1,-881,0,0,2,-2,2
248,243,243,239,21,19,20,18,1,2,1,2,5,0,4,2,-1,2
824,815,815,810,14,14,13,13,1,2,1,1,9,0,5,0,1,0
646,637,623,614,13,14,13,13,1,3,1,2,9,14,9,-1,1,0
286,281,276,276,14,14,15,16,3,3,1,1,5,5,0,0,-1,-1
454,450,450,440,13,14,15,13,1,3,3,2,4,0,10,-1,-1,2
665,651,642,646,13,14,12,13,3,2,1,2,14,9,-4,-1,2,-1
937,923,923,923,17,17,15,16,2,2,1,2,14,0,0,0,2,-1
609,614,614,609,21,19,21,19,2,1,3,1,-5,0,5,2,-2,2
834,815,815,815,18,19,18,19,1,2,2,1,19,0,0,-1,1,-1
820,764,764,754,14,14,15,13,2,3,2,2,56,0,10,0,-1,2
271,262,262,262,14,14,15,16,2,2,4,1,9,0,0,0,-1,-1
515,515,515,510,14,14,13,13,1,2,1,2,0,0,5,0,1,0
876,876,881,881,14,14,15,13,1,2,2,1,0,-5,0,0,-1,2
393,393,389,379,13,14,12,13,2,4,2,2,0,4,10,-1,2,-1
820,815,815,810,14,14,13,13,1,1,1,2,5,0,5,0,1,0
623,618,618,618,14,17,15,16,1,2,3,1,5,0,0,-3,2,-1
1054,1040,1031,1031,20,19,18,18,1,2,1,2,14,9,0,1,1,0
440,436,426,431,13,14,15,13,3,2,1,1,4,10,-5,-1,-1,2
600,595,600,595,14,14,15,13,1,3,2,1,5,-5,5,0,-1,2
1064,1064,1064,1064,17,16,15,16,3,1,2,1,0,0,0,1,1,-1
351,351,346,342,20,19,18,18,1,3,1,2,0,5,4,1,1,0
623,614,614,604,14,14,13,13,1,2,2,2,9,0,10,0,1,0
717,712,712,707,17,16,18,18,3,1,1,1,5,0,5,1,-2,0
464,459,459,459,13,16,15,16,2,2,1,1,5,0,0,-3,1,-1
520,520,524,520,14,14,15,13,2,4,2,2,0,-4,4,0,-1,2
192,196,196,196,14,14,15,13,1,1,1,1,-4,0,0,0,-1,2
281,276,281,276,18,17,18,16,2,2,1,3,5,-5,5,1,-1,2
857,843,839,834,14,14,13,13,2,2,1,2,14,4,5,0,1,0
909,890,890,890,14,17,15,16,2,2,1,2,19,0,0,-3,2,-1
389,384,384,398,20,19,20,18,2,3,2,2,5,0,-14,1,-1,2
524,520,515,515,14,14,15,13,2,3,3,1,4,5,0,0,-1,2
609,604,604,604,21,19,20,21,2,3,2,2,5,0,0,2,-1,-1
412,407,407,403,17,16,15,16,3,2,2,1,5,0,4,1,1,-1
543,539,539,539,18,19,18,18,3,1,2,1,4,0,0,-1,1,0
468,459,459,454,13,14,12,13,2,2,2,2,9,0,5,-1,2,-1
473,464,459,459,13,14,15,13,2,3,2,1,9,5,0,-1,-1,2
1078,1078,1073,1078,20,19,20,18,2,1,1,1,0,5,-5,1,-1,2
1017,1007,1012,1012,20,19,20,21,2,2,2,1,10,-5,0,1,-1,-1
703,698,693,698,20,19,18,18,3,1,1,1,5,5,-5,1,1,0
220,215,206,215,14,14,13,13,1,2,3,3,5,9,-9,0,1,0
1017,1007,1007,1012,17,16,18,18,1,2,1,1,10,0,-5,1,-2,0
989,984,984,989,20,19,20,18,2,1,1,1,5,0,-5,1,-1,2
998,998,993,993,13,14,12,13,1,2,1,1,0,5,0,-1,2,-1
1054,1050,1045,1045,13,14,12,13,3,3,1,1,4,5,0,-1,2,-1
759,759,754,754,13,14,12,13,3,3,2,2,0,5,0,-1,2,-1
496,492,492,496,14,14,13,13,1,3,1,1,4,0,-4,0,1,0
412,407,407,407,13,14,12,13,1,2,2,1,5,0,0,-1,2,-1
351,346,346,346,17,19,18,18,3,2,1,1,5,0,0,-2,1,0
210,201,196,196,18,19,18,19,3,3,1,2,9,5,0,-1,1,-1
304,295,295,290,18,19,18,19,3,2,1,2,9,0,5,-1,1,-1
562,553,553,553,18,19,18,18,3,2,6,1,9,0,0,-1,1,0
534,529,529,529,18,17,18,19,2,1,1,2,5,0,0,1,-1,-1
1045,1036,815,1040,20,19,18,18,1,1,1,1,9,221,-225,1,1,0
974,979,970,965,13,14,15,13,3,2,3,2,-5,9,5,-1,-1,2
942,932,932,932,20,19,20,18,1,2,1,1,10,0,0,1,-1,2
871,871,871,867,14,14,15,13,2,3,2,2,0,0,4,0,-1,2
524,524,524,520,18,17,18,19,1,3,2,1,0,0,4,1,-1,-1
328,318,314,323,18,19,18,19,1,3,1,1,10,4,-9,-1,1,-1
356,351,356,450,13,14,15,11,3,3,2,1,5,-5,-94,-1,-1,4
660,656,656,660,20,19,20,21,1,1,1,1,4,0,-4,1,-1,-1
853,848,843,843,14,14,13,13,1,1,3,3,5,5,0,0,1,0
510,501,510,520,21,19,20,21,4,1,1,1,9,-9,-10,2,-1,-1
323,309,295,290,14,14,13,13,2,3,2,4,14,14,5,0,1,0
918,909,914,918,14,14,13,13,3,2,1,3,9,-5,-4,0,1,0
524,515,515,510,18,17,18,19,3,2,1,1,9,0,5,1,-1,-1
520,520,520,515,14,17,15,16,1,1,2,2,0,0,5,-3,2,-1
979,979,974,974,17,16,15,16,3,1,2,2,0,5,0,1,1,-1
267,267,262,262,18,17,18,18,1,1,1,1,0,5,0,1,-1,0
886,881,881,881,14,14,13,13,1,2,2,1,5,0,0,0,1,0
257,243,239,239,18,17,15,16,3,1,3,1,14,4,0,1,2,-1
609,600,595,595,14,14,15,13,4,2,1,2,9,5,0,0,-1,2
951,946,946,946,17,16,18,16,1,1,2,1,5,0,0,1,-2,2
595,586,586,586,18,19,18,19,2,2,1,2,9,0,0,-1,1,-1
351,346,346,346,20,19,20,18,2,1,1,1,5,0,0,1,-1,2
459,459,459,450,20,19,20,21,3,1,1,2,0,0,9,1,-1,-1
220,215,220,210,18,17,18,19,2,1,2,2,5,-5,10,1,-1,-1
857,839,834,829,14,14,15,13,1,4,1,1,18,5,5,0,-1,2
370,360,356,356,20,19,18,18,1,1,1,1,10,4,0,1,1,0
276,271,276,271,14,14,13,13,2,6,1,1,5,-5,5,0,1,0
1031,1026,1021,1017,17,16,15,16,1,2,2,2,5,5,4,1,1,-1
600,595,595,590,18,19,18,19,3,2,2,1,5,0,5,-1,1,-1
660,656,651,651,17,16,18,18,2,3,1,2,4,5,0,1,-2,0
670,670,665,670,17,16,15,16,1,1,1,2,0,5,-5,1,1,-1
295,300,300,300,21,19,20,21,1,3,1,6,-5,0,0,2,-1,-1
679,674,679,679,20,19,20,21,2,2,2,3,5,-5,0,1,-1,-1
586,576,576,571,14,14,15,13,1,2,2,2,10,0,5,0,-1,2
745,740,740,736,20,19,18,18,1,2,1,2,5,0,4,1,1,0
712,712,712,707,13,14,15,13,1,1,2,2,0,0,5,-1,-1,2
1045,1036,1036,1040,13,14,12,13,2,2,1,1,9,0,-4,-1,2,-1
993,984,984,984,17,19,18,18,2,1,1,2,9,0,0,-2,1,0
923,918,914,918,14,17,15,16,3,1,1,1,5,4,-4,-3,2,-1
393,389,393,389,20,19,18,18,1,2,3,1,4,-4,4,1,1,0
337,300,300,300,17,17,18,19,3,1,1,1,37,0,0,0,-1,-1
759,754,754,750,13,14,12,13,2,3,2,2,5,0,4,-1,2,-1
271,271,271,267,18,17,18,18,2,2,1,2,0,0,4,1,-1,0
468,459,464,459,13,14,12,13,1,2,2,1,9,-5,5,-1,2,-1
351,346,346,342,20,19,20,18,2,3,1,2,5,0,4,1,-1,2
712,703,707,703,17,16,18,18,2,2,1,2,9,-4,4,1,-2,0
267,262,262,262,21,19,20,18,1,2,1,1,5,0,0,2,-1,2
464,459,468,459,17,19,18,18,3,2,1,1,5,-9,9,-2,1,0
281,276,271,276,14,14,13,13,3,2,2,1,5,5,-5,0,1,0
262,257,257,257,18,17,18,16,1,2,1,1,5,0,0,1,-1,2
445,445,445,440,17,16,15,16,1,3,2,1,0,0,5,1,1,-1
539,539,543,539,14,14,13,13,1,2,4,1,0,-4,4,0,1,0
215,210,210,206,14,14,13,13,3,3,3,1,5,0,4,0,1,0
890,876,871,871,14,14,15,13,2,2,3,1,14,5,0,0,-1,2
801,796,796,796,21,19,21,21,1,1,1,1,5,0,0,2,-2,0
618,609,604,604,14,17,15,16,3,2,2,2,9,5,0,-3,2,-1
314,309,314,309,18,19,18,19,2,2,2,1,5,-5,5,-1,1,-1
281,267,271,276,14,14,13,13,1,2,2,1,14,-4,-5,0,1,0
693,689,707,684,13,14,12,13,2,2,2,1,4,-18,23,-1,2,-1
515,492,478,473,14,14,13,13,3,3,2,1,23,14,5,0,1,0
853,843,843,843,14,14,15,13,1,2,3,3,10,0,0,0,-1,2
651,646,642,637,13,14,15,16,2,2,3,3,5,4,5,-1,-1,-1
571,567,571,562,18,17,18,18,2,2,3,2,4,-4,9,1,-1,0
1059,1059,1050,1054,17,16,15,16,3,1,1,3,0,9,-4,1,1,-1
539,534,534,534,14,14,13,13,1,3,1,3,5,0,0,0,1,0
923,923,918,918,18,19,18,19,1,3,1,1,0,5,0,-1,1,-1
473,468,468,478,13,14,15,16,1,1,3,1,5,0,-10,-1,-1,-1
281,276,281,271,18,19,18,18,3,2,4,2,5,-5,10,-1,1,0
253,248,253,248,18,19,20,18,1,2,2,1,5,-5,5,-1,-1,2
454,450,464,464,20,19,20,18,3,3,1,1,4,-14,0,1,-1,2
974,965,956,956,13,14,12,13,1,2,1,3,9,9,0,-1,2,-1
407,407,407,403,17,19,18,18,1,2,1,2,0,0,4,-2,1,0
660,656,660,656,20,19,20,18,3,1,1,2,4,-4,4,1,-1,2
707,703,703,698,13,14,12,13,2,3,1,4,4,0,5,-1,2,-1
928,923,923,918,21,19,21,21,1,2,1,2,5,0,5,2,-2,0
496,487,492,492,18,17,15,16,3,1,2,1,9,-5,0,1,2,-1
510,506,506,501,14,14,15,13,2,3,2,2,4,0,5,0,-1,2
576,562,567,567,14,14,15,13,4,3,1,2,14,-5,0,0,-1,2
862,857,853,857,18,19,18,18,3,1,2,3,5,4,-4,-1,1,0
360,356,360,356,20,19,20,21,1,1,1,2,4,-4,4,1,-1,-1
576,571,571,571,21,19,20,21,1,2,3,1,5,0,0,2,-1,-1
220,220,220,215,14,14,13,13,2,3,2,2,0,0,5,0,1,0
496,496,496,496,18,17,18,19,1,3,2,1,0,0,0,1,-1,-1
956,946,946,946,13,14,15,13,4,3,1,3,10,0,0,-1,-1,2
496,454,454,454,14,14,15,13,2,2,2,1,42,0,0,0,-1,2
1031,1031,1031,1026,13,14,12,13,1,1,2,2,0,0,5,-1,2,-1
1059,1050,1054,1050,13,14,12,13,1,2,2,2,9,-4,4,-1,2,-1
557,557,553,553,18,17,18,18,1,1,2,1,0,4,0,1,-1,0
515,506,510,506,18,19,18,19,2,1,2,2,9,-4,4,-1,1,-1
478,473,473,473,17,16,15,16,1,2,1,2,5,0,0,1,1,-1
1050,1040,1045,1050,13,14,15,13,1,2,1,4,10,-5,-5,-1,-1,2
196,187,187,182,21,19,21,21,2,1,2,2,9,0,5,2,-2,0
646,642,642,637,20,19,20,21,3,1,3,2,4,0,5,1,-1,-1
862,848,853,848,14,14,15,13,3,2,1,3,14,-5,5,0,-1,2
220,215,215,215,18,17,18,19,2,2,1,1,5,0,0,1,-1,-1
1012,1012,1007,1003,17,16,18,16,3,3,2,1,0,5,4,1,-2,2
210,201,196,201,14,14,13,13,3,3,2,1,9,5,-5,0,1,0
843,839,839,839,18,17,18,16,1,2,3,1,4,0,0,1,-1,2
721,721,726,717,13,14,12,13,1,3,2,2,0,-5,9,-1,2,-1
1059,1054,1050,1050,20,19,20,21,2,1,1,2,5,4,0,1,-1,-1
548,553,543,548,14,14,15,13,3,3,1,1,-5,10,-5,0,-1,2
562,562,557,562,21,19,20,21,2,1,1,1,0,5,-5,2,-1,-1
384,374,365,365,20,19,20,21,3,2,1,1,10,9,0,1,-1,-1
323,323,328,314,21,19,21,21,2,2,2,2,0,-5,14,2,-2,0
412,403,403,407,20,19,20,21,4,2,1,1,9,0,-4,1,-1,-1
782,782,787,782,21,19,21,21,2,2,2,1,0,-5,5,2,-2,0
468,459,459,464,13,14,12,13,1,1,3,1,9,0,-5,-1,2,-1
689,689,684,684,13,14,15,13,3,3,4,2,0,5,0,-1,-1,2
243,239,229,234,14,14,15,13,2,1,1,1,4,10,-5,0,-1,2
571,557,562,557,18,17,18,16,2,1,1,2,14,-5,5,1,-1,2
562,548,548,543,14,17,15,16,2,1,1,1,14,0,5,-3,2,-1
243,239,243,253,18,17,18,18,1,4,1,1,4,-4,-10,1,-1,0
454,450,454,450,20,19,20,21,3,2,1,1,4,-4,4,1,-1,-1
290,290,286,295,18,17,18,16,6,1,3,1,0,4,-9,1,-1,2
707,707,703,703,17,16,18,16,1,1,1,3,0,4,0,1,-2,2
736,726,726,721,20,19,20,21,2,1,1,2,10,0,5,1,-1,-1
754,745,750,745,17,16,18,18,2,2,2,1,9,-5,5,1,-2,0
417,417,426,426,20,19,20,21,1,1,2,1,0,-9,0,1,-1,-1
848,843,843,843,21,19,20,18,1,1,2,1,5,0,0,2,-1,2
201,196,196,196,18,17,18,19,2,2,1,2,5,0,0,1,-1,-1
543,543,543,543,18,17,18,18,2,2,3,3,0,0,0,1,-1,0
543,539,539,543,18,17,18,18,2,2,1,1,4,0,-4,1,-1,0
487,482,478,482,14,14,13,13,3,1,1,1,5,4,-4,0,1,0
454,454,454,450,20,19,20,21,1,2,1,1,0,0,4,1,-1,-1
928,914,928,937,21,19,21,18,1,2,1,1,14,-14,-9,2,-2,3
918,918,923,918,14,14,13,13,1,3,2,2,0,-5,5,0,1,0
993,989,993,989,13,14,12,13,3,2,2,2,4,-4,4,-1,2,-1
689,684,684,679,20,19,20,21,2,1,2,2,5,0,5,1,-1,-1
515,510,510,510,18,17,18,16,5,2,2,1,5,0,0,1,-1,2
295,286,281,281,18,19,20,19,2,1,1,1,9,5,0,-1,-1,1
300,295,290,290,14,14,15,16,2,3,1,1,5,5,0,0,-1,-1
473,464,454,464,20,19,20,21,3,2,1,1,9,10,-10,1,-1,-1
979,979,974,974,17,16,18,18,3,3,1,3,0,5,0,1,-2,0
417,407,407,403,13,14,15,16,2,3,3,1,10,0,4,-1,-1,-1
1012,1003,1007,1003,17,16,18,18,1,1,1,1,9,-4,4,1,-2,0
515,510,506,501,14,14,15,13,1,3,1,2,5,4,5,0,-1,2
328,323,318,318,14,17,15,16,1,1,3,1,5,5,0,-3,2,-1
501,501,501,492,21,19,21,19,2,1,1,2,0,0,9,2,-2,2
707,693,689,684,17,16,18,18,2,1,2,1,14,4,5,1,-2,0
890,890,886,890,18,19,18,19,1,1,3,3,0,4,-4,-1,1,-1
768,759,764,759,20,19,20,21,2,1,2,1,9,-5,5,1,-1,-1
187,187,1078,1073,14,14,15,16,3,1,1,2,0,-891,5,0,-1,-1
524,520,520,520,18,19,18,19,1,2,1,3,4,0,0,-1,1,-1
365,356,356,351,13,14,15,13,1,2,2,1,9,0,5,-1,-1,2
979,970,970,974,20,19,20,18,2,2,1,1,9,0,-4,1,-1,2
703,693,689,693,13,14,12,13,2,3,1,1,10,4,-4,-1,2,-1
703,689,670,670,13,14,15,13,1,3,1,2,14,19,0,-1,-1,2
886,881,946,881,14,17,20,16,2,2,1,1,5,-65,65,-3,-3,4
257,248,253,253,18,19,18,18,3,4,3,1,9,-5,0,-1,1,0
717,707,712,707,20,19,20,21,6,1,1,1,10,-5,5,1,-1,-1
403,403,393,389,20,19,20,21,2,1,1,1,0,10,4,1,-1,-1
956,956,956,946,13,14,15,16,2,1,2,2,0,0,10,-1,-1,-1
482,482,487,482,18,19,18,19,2,1,2,1,0,-5,5,-1,1,-1
374,365,365,365,13,14,15,13,1,2,1,2,9,0,0,-1,-1,2
421,417,421,417,20,19,20,21,1,2,2,3,4,-4,4,1,-1,-1
276,267,262,262,14,14,13,13,2,3,3,3,9,5,0,0,1,0
445,431,436,436,20,19,20,21,2,3,1,1,14,-5,0,1,-1,-1
482,487,478,478,18,19,18,18,2,2,2,1,-5,9,0,-1,1,0
374,374,365,379,13,14,15,13,2,2,1,1,0,9,-14,-1,-1,2
590,586,586,581,14,14,15,13,1,2,2,1,4,0,5,0,-1,2
529,534,529,529,18,17,18,16,3,2,1,3,-5,5,0,1,-1,2
281,271,276,276,18,19,18,18,3,1,2,1,10,-5,0,-1,1,0
436,431,426,426,17,16,18,16,1,1,1,1,5,5,0,1,-2,2
853,843,848,843,14,14,15,13,2,1,2,2,10,-5,5,0,-1,2
421,417,417,417,17,16,18,18,1,2,1,1,4,0,0,1,-2,0
984,979,984,979,17,16,18,16,1,2,2,6,5,-5,5,1,-2,2
370,365,365,360,17,16,18,18,2,3,2,2,5,0,5,1,-2,0
1021,1021,1017,1017,13,14,12,13,3,2,1,1,0,4,0,-1,2,-1
590,586,586,581,18,17,18,16,3,2,2,3,4,0,5,1,-1,2
567,557,553,553,18,19,18,18,2,1,1,3,10,4,0,-1,1,0
642,637,637,632,17,16,18,16,1,3,1,1,5,0,5,1,-2,2
365,356,356,351,13,14,12,13,1,4,3,1,9,0,5,-1,2,-1
848,834,834,834,14,17,15,16,3,2,1,1,14,0,0,-3,2,-1
271,267,267,267,18,17,18,18,1,3,1,1,4,0,0,1,-1,0
346,342,342,342,20,19,20,21,3,2,2,2,4,0,0,1,-1,-1
796,796,792,792,18,19,18,19,3,3,1,1,0,4,0,-1,1,-1
243,243,239,239,18,17,18,18,2,1,1,1,0,4,0,1,-1,0
1007,1003,1007,1007,17,19,18,18,1,2,1,1,4,-4,0,-2,1,0
304,295,290,286,14,17,15,16,1,2,2,4,9,5,4,-3,2,-1
557,553,557,548,14,17,15,16,3,2,2,1,4,-4,9,-3,2,-1
384,374,374,374,13,14,12,13,1,2,3,2,10,0,0,-1,2,-1
998,998,989,989,13,14,12,13,1,3,1,1,0,9,0,-1,2,-1
824,815,815,815,14,14,15,16,1,2,2,1,9,0,0,0,-1,-1
815,806,796,796,14,14,15,13,4,2,1,2,9,10,0,0,-1,2
1003,998,993,993,17,19,18,18,2,1,1,1,5,5,0,-2,1,0
365,356,356,356,20,19,20,21,2,1,1,3,9,0,0,1,-1,-1
609,604,604,604,18,17,18,19,2,2,3,1,5,0,0,1,-1,-1
417,407,407,407,13,14,15,13,1,2,3,1,10,0,0,-1,-1,2
881,881,881,876,18,17,18,16,2,1,2,1,0,0,5,1,-1,2
304,300,304,300,14,17,15,16,2,2,2,1,4,-4,4,-3,2,-1
351,346,351,351,13,14,15,16,1,2,1,1,5,-5,0,-1,-1,-1
220,210,206,210,18,17,18,19,3,3,1,1,10,4,-4,1,-1,-1
1017,1012,1017,1021,17,16,18,18,1,2,1,1,5,-5,-4,1,-2,0
459,450,445,445,13,16,15,16,1,3,2,3,9,5,0,-3,1,-1
309,300,300,300,14,17,15,16,2,2,2,1,9,0,0,-3,2,-1
1007,1003,998,998,17,16,18,18,2,3,2,1,4,5,0,1,-2,0
660,651,646,646,13,14,12,13,2,1,2,1,9,5,0,-1,2,-1
787,787,787,782,14,17,15,16,2,2,3,2,0,0,5,-3,2,-1
426,421,426,421,13,14,15,13,3,2,1,3,5,-5,5,-1,-1,2
450,445,450,440,20,19,20,21,4,2,3,1,5,-5,10,1,-1,-1
581,581,581,459,14,14,15,9,3,5,1,1,0,0,122,0,-1,6
220,215,215,210,14,14,15,16,1,3,2,3,5,0,5,0,-1,-1
370,360,356,360,13,14,12,13,3,1,3,3,10,4,-4,-1,2,-1
595,586,590,590,18,19,18,19,3,2,2,1,9,-4,0,-1,1,-1
698,693,674,679,13,14,12,13,1,1,5,1,5,19,-5,-1,2,-1
515,515,520,515,21,19,20,21,2,2,2,3,0,-5,5,2,-1,-1
300,539,286,286,14,14,13,13,1,1,1,1,-239,253,0,0,1,0
1003,998,1003,998,13,14,12,13,2,1,1,2,5,-5,5,-1,2,-1
304,290,295,300,14,14,15,13,3,2,1,2,14,-5,-5,0,-1,2
520,515,510,510,18,17,18,19,1,2,3,2,5,5,0,1,-1,-1
445,421,421,426,13,14,15,13,1,2,1,1,24,0,-5,-1,-1,2
914,918,918,914,21,19,21,19,2,1,2,1,-4,0,4,2,-2,2
